ItemArmsFuturisticStraitjacketSetvp0,DestinationCharacter pelvis and vulva items are now hidden when wearing TargetPronounPossessive leotard.
ItemArmsFuturisticStraitjacketSetvp1,DestinationCharacter pelvis and vulva items are now visible when wearing TargetPronounPossessive leotard.
ItemArmsHighSecurityStraitJacketModuleArms,Sleeves
ItemArmsHighSecurityStraitJacketModuleCrotch,Crotch Panel
ItemArmsHighSecurityStraitJacketModuleStraps,Crotch Straps
ItemArmsHighSecurityStraitJacketOptiona0,Loose
ItemArmsHighSecurityStraitJacketOptiona1,Arms in front
ItemArmsHighSecurityStraitJacketOptiona2,Arms behind
ItemArmsHighSecurityStraitJacketOptionc0,No crotch panel
ItemArmsHighSecurityStraitJacketOptionc1,Crotch panel
ItemArmsHighSecurityStraitJacketOptions0,No crotch straps
ItemArmsHighSecurityStraitJacketOptions1,Single crotch strap
ItemArmsHighSecurityStraitJacketOptions2,Double crotch strap
ItemArmsHighSecurityStraitJacketOptions3,Triple crotch strap
ItemArmsHighSecurityStraitJacketSelectArms,Configure sleeves
ItemArmsHighSecurityStraitJacketSelectBase,Configure straitjacket
ItemArmsHighSecurityStraitJacketSelectCrotch,Configure crotch panel
ItemArmsHighSecurityStraitJacketSelectStraps,Configure crotch straps
ItemArmsHighSecurityStraitJacketSeta0,SourceCharacter unbuckles the sleeves of DestinationCharacter straitjacket
ItemArmsHighSecurityStraitJacketSeta1,SourceCharacter secures the arms of DestinationCharacter straitjacket in front of TargetPronounObject
ItemArmsHighSecurityStraitJacketSeta2,SourceCharacter secures the arms of DestinationCharacter straitjacket behind TargetPronounObject
ItemArmsHighSecurityStraitJacketSetc0,SourceCharacter removes the crotch panel from DestinationCharacter straitjacket
ItemArmsHighSecurityStraitJacketSetc1,SourceCharacter adds a crotch panel to DestinationCharacter straitjacket
ItemArmsHighSecurityStraitJacketSets0,SourceCharacter removes the crotch straps from DestinationCharacter straitjacket
ItemArmsHighSecurityStraitJacketSets1,SourceCharacter secures DestinationCharacter straitjacket with a single crotch strap
ItemArmsHighSecurityStraitJacketSets2,SourceCharacter secures DestinationCharacter straitjacket with a double crotch strap
ItemArmsHighSecurityStraitJacketSets3,SourceCharacter secures DestinationCharacter straitjacket with a triple crotch strap
ItemArmsHighStyleSteelCuffsNone,Detached
ItemArmsHighStyleSteelCuffsSetNone,SourceCharacter detaches the chain from DestinationCharacter HighStyle Steel cuffs.
ItemArmsHighStyleSteelCuffsSetWrist,SourceCharacter attaches the HighStyle Steel cuffs wrist chain behind DestinationCharacter back.
ItemArmsHighStyleSteelCuffsWrist,Bind wrists
ItemArmsLatexLeotardPolished,Shiny
ItemArmsLatexLeotardSelect,Select latex finish
ItemArmsLatexLeotardSetPolished,SourceCharacter polishes the latex of DestinationCharacter leotard until it's shiny
ItemArmsLatexLeotardSetUnpolished,SourceCharacter removes the polish from DestinationCharacter latex leotard
ItemArmsLatexLeotardUnpolished,Matte
ItemArmsLeatherArmbinderNone,Strapless
ItemArmsLeatherArmbinderSelect,Select strap type
ItemArmsLeatherArmbinderSetNone,SourceCharacter puts a strapless armbinder on DestinationCharacter arms.
ItemArmsLeatherArmbinderSetStrap,SourceCharacter puts an armbinder with ring straps on DestinationCharacter arms.
ItemArmsLeatherArmbinderSetWrapStrap,SourceCharacter puts an armbinder with wrapping straps on DestinationCharacter arms.
ItemArmsLeatherArmbinderStrap,Ring Straps
ItemArmsLeatherArmbinderWrapStrap,Wrapping Straps
ItemArmsLeatherCuffsSetBoth,SourceCharacter attaches the leather cuffs wrist and elbow chains behind DestinationCharacter back.
ItemArmsLeatherCuffsSetElbow,SourceCharacter attaches the leather cuffs elbow chain behind DestinationCharacter back.
ItemArmsLeatherCuffsSetHogtie,SourceCharacter attaches the leather cuffs wrist and elbow chains behind DestinationCharacter back and connects the wrist and ankle cuffs.
ItemArmsLeatherCuffsSetNone,SourceCharacter detaches the chain from DestinationCharacter leather cuffs.
ItemArmsLeatherCuffsSetWrist,SourceCharacter attaches the leather cuffs wrist chain behind DestinationCharacter back.
ItemArmsLeatherDeluxeCuffsSetBoth,SourceCharacter attaches the leather cuffs wrist and elbow chains behind DestinationCharacter back.
ItemArmsLeatherDeluxeCuffsSetElbow,SourceCharacter attaches the leather cuffs elbow chain behind DestinationCharacter back.
ItemArmsLeatherDeluxeCuffsSetHogtie,SourceCharacter attaches the leather cuffs wrist and elbow chains behind DestinationCharacter back and connects the wrist and ankle cuffs.
ItemArmsLeatherDeluxeCuffsSetNone,SourceCharacter detaches the chain from DestinationCharacter leather cuffs.
ItemArmsLeatherDeluxeCuffsSetWrist,SourceCharacter attaches the leather cuffs wrist chain behind DestinationCharacter back.
ItemArmsLeatherStraitJacketSetLoose,SourceCharacter loosens the straps on DestinationCharacter leather straitjacket.
ItemArmsLeatherStraitJacketSetNormal,SourceCharacter adjusts the straps normally on DestinationCharacter leather straitjacket.
ItemArmsLeatherStraitJacketSetSnug,SourceCharacter snugs the straps on DestinationCharacter leather straitjacket.
ItemArmsLeatherStraitJacketSetTight,SourceCharacter tightens the straps on DestinationCharacter leather straitjacket.
ItemArmsMermaidSuitSelect,Select suit type
ItemArmsMermaidSuitSetUnZip,SourceCharacter unzips DestinationCharacter suit.
ItemArmsMermaidSuitSetZipped,SourceCharacter zips up DestinationCharacter suit.
ItemArmsMermaidSuitUnZip,Unzipped
ItemArmsMermaidSuitZipped,Zipped Up
ItemArmsOrnateCuffsSetBoth,SourceCharacter attaches the Ornate cuffs wrist and elbow chains behind DestinationCharacter back.
ItemArmsOrnateCuffsSetElbow,SourceCharacter attaches the Ornate cuffs elbow chain behind DestinationCharacter back.
ItemArmsOrnateCuffsSetHogtie,SourceCharacter attaches the Ornate cuffs wrist and elbow chains behind DestinationCharacter back and connects the wrist and ankle cuffs.
ItemArmsOrnateCuffsSetNone,SourceCharacter detaches the chain from DestinationCharacter Ornate cuffs.
ItemArmsOrnateCuffsSetWrist,SourceCharacter attaches the Ornate cuffs wrist chain behind DestinationCharacter back.
ItemArmsPrisonLockdownSuitModuleRestraints,Restraints
ItemArmsPrisonLockdownSuitModuleShockModule,Shock Collar
ItemArmsPrisonLockdownSuitOptionr0,Free
ItemArmsPrisonLockdownSuitOptionr1,Ankles Locked
ItemArmsPrisonLockdownSuitOptionr2,Thighs Locked
ItemArmsPrisonLockdownSuitOptionr3,Locked Down
ItemArmsPrisonLockdownSuitOptions0,Low
ItemArmsPrisonLockdownSuitOptions1,Medium
ItemArmsPrisonLockdownSuitOptions2,High
ItemArmsPrisonLockdownSuitSelectBase,Select suit options
ItemArmsPrisonLockdownSuitSelectRestraints,Configure suit restraints
ItemArmsPrisonLockdownSuitSelectShockModule,Configure shock intensity
ItemArmsPrisonLockdownSuitSetr0,SourceCharacter unbuckles all of the belts on DestinationCharacter suit
ItemArmsPrisonLockdownSuitSetr1,SourceCharacter buckles the belts on DestinationCharacter ankles
ItemArmsPrisonLockdownSuitSetr2,SourceCharacter buckles the belts on DestinationCharacter thighs
ItemArmsPrisonLockdownSuitSetr3,SourceCharacter buckles all of the belts on DestinationCharacter suit
ItemArmsPrisonLockdownSuitSets0,SourceCharacter sets DestinationCharacter shock unit to low intensity.
ItemArmsPrisonLockdownSuitSets1,SourceCharacter sets DestinationCharacter shock unit to moderate intensity.
ItemArmsPrisonLockdownSuitSets2,SourceCharacter sets DestinationCharacter shock unit to high intensity.
ItemArmsPrisonSJModuleStripes,Pattern
ItemArmsPrisonSJModuleZipper,Zipper
ItemArmsPrisonSJOptionc0,Closed
ItemArmsPrisonSJOptionc1,Exposed
ItemArmsPrisonSJOptionp0,Plain
ItemArmsPrisonSJOptionp1,Prison Stripes
ItemArmsPrisonSJOptionp2,Colored Sides
ItemArmsPrisonSJSelectBase,Choose Design
ItemArmsPrisonSJSelectStripes,Pattern Options
ItemArmsPrisonSJSelectZipper,Zipper Options
ItemArmsPrisonSJSetc0,SourceCharacter closes the zipper of DestinationCharacter prison straitjacket.
ItemArmsPrisonSJSetc1,SourceCharacter opens the zipper of DestinationCharacter prison straitjacket.
ItemArmsPrisonSJSetp0,SourceCharacter removes DestinationCharacter straitjacket pattern.
ItemArmsPrisonSJSetp1,SourceCharacter adds DestinationCharacter straitjacket stripes.
ItemArmsPrisonSJSetp2,SourceCharacter adds DestinationCharacter straitjacket sides.
ItemArmsRibbonsCross,Cross
ItemArmsRibbonsHeavy,Heavy
ItemArmsRibbonsSetCross,SourceCharacter uses some ribbons on DestinationCharacter arms.
ItemArmsRibbonsSetHeavy,SourceCharacter uses some more ribbons on DestinationCharacter arms.
ItemArmsShinyArmbinderArmbinder,Armbinder
ItemArmsShinyArmbinderHard,Hard Armbinder
ItemArmsShinyArmbinderReverse,Reverse prayer
ItemArmsShinyArmbinderSelect,Customize the look of the binder
ItemArmsShinyArmbinderSetArmbinder,SourceCharacter wraps DestinationCharacter arms in a laced AssetName.
ItemArmsShinyArmbinderSetHard,SourceCharacter wraps DestinationCharacter arms in a sturdy AssetName.
ItemArmsShinyArmbinderSetReverse,SourceCharacter folds DestinationCharacter arms in a reverse prayer pose and binds them with a AssetName.
ItemArmsShinyArmbinderSetXcross,SourceCharacter folds DestinationCharacter arms in a box pose and binds them with a AssetName.
ItemArmsShinyArmbinderXcross,X-cross tie
ItemArmsShinyPetSuitClassic,Classic
ItemArmsShinyPetSuitClosed,Closed Up
ItemArmsShinyPetSuitExposed,Exposed
ItemArmsShinyPetSuitOpen,Opened
ItemArmsShinyPetSuitSelect,Customize the look of the suit
ItemArmsShinyPetSuitSetClassic,SourceCharacter chose the classic look of the costume on DestinationCharacter.
ItemArmsShinyPetSuitSetClosed,SourceCharacter close up DestinationCharacter suit.
ItemArmsShinyPetSuitSetExposed,SourceCharacter opens DestinationCharacter suit and fully exposes her breasts and pussy.
ItemArmsShinyPetSuitSetOpen,SourceCharacter opens DestinationCharacter suit.
ItemArmsShinyStraitjacketAsylum,Asylum
ItemArmsShinyStraitjacketClassic,Classic
ItemArmsShinyStraitjacketCrosstie,Crosstie
ItemArmsShinyStraitjacketHardbinder,Hardbinder
ItemArmsShinyStraitjacketSelect,Customize the look of the jacket
ItemArmsShinyStraitjacketSetAsylum,SourceCharacter wraps up DestinationCharacter in an asylum AssetName.
ItemArmsShinyStraitjacketSetClassic,SourceCharacter wraps up DestinationCharacter arms in a classic AssetName.
ItemArmsShinyStraitjacketSetCrosstie,SourceCharacter wraps DestinationCharacter arms in a AssetName and exposes TargetPronounPossessive breasts.
ItemArmsShinyStraitjacketSetHardbinder,SourceCharacter wraps DestinationCharacter arms in a hard-binder AssetName.
ItemArmsSlimeModulePosition,Position
ItemArmsSlimeModuleType,Slime Type
ItemArmsSlimeOptionp0,Torso only
ItemArmsSlimeOptionp1,Encasement
ItemArmsSlimeOptiont0,Normal slime
ItemArmsSlimeOptiont1,Slime girl
ItemArmsSlimeSelectBase,Arrange slime
ItemArmsSlimeSelectPosition,Select position
ItemArmsSlimeSelectType,Select slime type
ItemArmsSlimeSetp0,The slime around DestinationCharacter body contracts until it is only restraining TargetPronounPossessive arms.
ItemArmsSlimeSetp1,
ItemArmsSlimeSetp1,The slime around DestinationCharacter arms expands to encase TargetPronounPossessive whole body.
ItemArmsSlimeSett0,
ItemArmsSlimeSett0,The slime girl recedes back into the slime on TargetCharacter.
ItemArmsSlimeSett1,
ItemArmsSlimeSett1,A slime girl emerges from the slime around TargetCharacter.
ItemArmsSmoothLeatherArmbinder1ModuleBinderPosition,Position
ItemArmsSmoothLeatherArmbinder1ModuleShoulderStraps,Shoulder Straps
ItemArmsSmoothLeatherArmbinder1Optionb0,Left
ItemArmsSmoothLeatherArmbinder1Optionb1,Back
ItemArmsSmoothLeatherArmbinder1Optionb2,Right
ItemArmsSmoothLeatherArmbinder1Options0,None
ItemArmsSmoothLeatherArmbinder1Options1,Basic
ItemArmsSmoothLeatherArmbinder1Options2,Wrapping
ItemArmsSmoothLeatherArmbinder1Options3,Harness
ItemArmsSmoothLeatherArmbinder1SelectBase,Select Armbinder Configuration.
ItemArmsSmoothLeatherArmbinder1SelectBinderPosition,Select Armbinder Position.
ItemArmsSmoothLeatherArmbinder1SelectShoulderStraps,Select Shoulder Straps.
ItemArmsSmoothLeatherArmbinder1Setb0,SourceCharacter shifts DestinationCharacter armbinder to the left of TargetPronounObject.
ItemArmsSmoothLeatherArmbinder1Setb1,SourceCharacter shifts DestinationCharacter armbinder behind TargetPronounObject.
ItemArmsSmoothLeatherArmbinder1Setb2,SourceCharacter shifts DestinationCharacter armbinder to the right of TargetPronounObject.
ItemArmsSmoothLeatherArmbinder1Sets0,SourceCharacter removes any shoulder straps from DestinationCharacter armbinder.
ItemArmsSmoothLeatherArmbinder1Sets1,SourceCharacter adds basic shoulder straps to DestinationCharacter armbinder.
ItemArmsSmoothLeatherArmbinder1Sets2,SourceCharacter adds wrapping shoulder straps to DestinationCharacter armbinder.
ItemArmsSmoothLeatherArmbinder1Sets3,SourceCharacter adds harness shoulder straps to DestinationCharacter armbinder.
ItemArmsSteelCuffsSetNone,SourceCharacter detaches DestinationCharacter steel cuffs.
ItemArmsSteelCuffsSetWrist,SourceCharacter attaches DestinationCharacter steel cuffs behind TargetPronounPossessive back.
ItemArmsStraitJacketLoose,Loose
ItemArmsStraitJacketNormal,Normal
ItemArmsStraitJacketSelect,How tight do you want to strap the jacket?
ItemArmsStraitJacketSetLoose,SourceCharacter loosens the straps on DestinationCharacter straitjacket.
ItemArmsStraitJacketSetNormal,SourceCharacter adjusts the straps normally on DestinationCharacter straitjacket.
ItemArmsStraitJacketSetSnug,SourceCharacter snugs the straps on DestinationCharacter straitjacket.
ItemArmsStraitJacketSetTight,SourceCharacter tightens the straps on DestinationCharacter straitjacket.
ItemArmsStraitJacketSnug,Snug
ItemArmsStraitJacketTight,Tight
ItemArmsStraitLeotardModuleCloth,Cloth
ItemArmsStraitLeotardModuleCorset,Torso
ItemArmsStraitLeotardModuleNipplesPiercings,Breasts
ItemArmsStraitLeotardModuleVulvaPiercings,Pelvis and Vulva
ItemArmsStraitLeotardOptioncl0,Hidden
ItemArmsStraitLeotardOptioncl1,Visible
ItemArmsStraitLeotardOptionco0,Hidden
ItemArmsStraitLeotardOptionco1,Visible
ItemArmsStraitLeotardOptionnp0,Hidden
ItemArmsStraitLeotardOptionnp1,Visible
ItemArmsStraitLeotardOptionvp0,Hidden
ItemArmsStraitLeotardOptionvp1,Visible
ItemArmsStraitLeotardSelectBase,Adjust what is visible and what is hidden.
ItemArmsStraitLeotardSelectCloth,Hide/Unhide clothes.
ItemArmsStraitLeotardSelectCorset,Hide/Unhide corsets.
ItemArmsStraitLeotardSelectNipplesPiercings,Hide/Unhide nipple piercings normally hidden due to layer.
ItemArmsStraitLeotardSelectVulvaPiercings,Hide/Unhide vulva piercings normally hidden due to layer.
ItemArmsStraitLeotardSetcl0,DestinationCharacterName clothes are now hidden when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetcl1,DestinationCharacterName clothes are now visible when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetco0,DestinationCharacterName torso items are now hidden when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetco1,DestinationCharacterName torso items are now visible when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetnp0,DestinationCharacterName breast items are now hidden when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetnp1,DestinationCharacterName breast items are now visible when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetvp0,DestinationCharacterName pelvis and vulva items are now hidden when wearing TargetPronounPossessive AssetName.
ItemArmsStraitLeotardSetvp1,DestinationCharacterName pelvis and vulva items are now visible when wearing TargetPronounPossessive AssetName.
ItemArmsTentaclesBehindBack,Behind back
ItemArmsTentaclesOverTheHead,Over the head
ItemArmsTentaclesSelect,Select tentacle position
ItemArmsTentaclesSetBehindBack,SourceCharacter uses the tentacles to bind DestinationCharacter arms behind TargetPronounPossessive back.
ItemArmsTentaclesSetOverTheHead,SourceCharacter uses the tentacles to hold DestinationCharacter arms above TargetPronounPossessive head.
ItemArmsThinLeatherStrapsBoxtie,Boxtie
ItemArmsThinLeatherStrapsHogtie,Hogtie
ItemArmsThinLeatherStrapsSelect,Select strap bondage.
ItemArmsThinLeatherStrapsSetBoxtie,SourceCharacter uses the straps on DestinationCharacter to do a boxtie harness.
ItemArmsThinLeatherStrapsSetHogtie,SourceCharacter uses the straps on DestinationCharacter to do a hogtie harness.
ItemArmsThinLeatherStrapsSetWrist,SourceCharacter uses the straps on DestinationCharacter to do a wrist strap.
ItemArmsThinLeatherStrapsSetWristElbow,SourceCharacter uses the straps on DestinationCharacter to do a wrist and elbow straps.
ItemArmsThinLeatherStrapsSetWristElbowHarness,SourceCharacter uses the straps on DestinationCharacter to do a wrist and elbow harness.
ItemArmsThinLeatherStrapsWrist,Wrist Tie
ItemArmsThinLeatherStrapsWristElbow,Wrist And Elbow Tie
ItemArmsThinLeatherStrapsWristElbowHarness,Wrist And Elbow Harness Tie
ItemArmsTightJacketBasic,Basic
ItemArmsTightJacketExtraPadding,Extra Padding
ItemArmsTightJacketFullJacket,Full Jacket
ItemArmsTightJacketLiningStraps,Lining Straps
ItemArmsTightJacketPaddedLining,Padding & Lining
ItemArmsTightJacketPulledLining,Pulled Straps & Lining
ItemArmsTightJacketPulledPadding,Pulled Straps & Padding
ItemArmsTightJacketPulledStraps,Pulled Out Straps
ItemArmsTightJacketSelect,Select straitjacket prep
ItemArmsTightJacketSetBasic,SourceCharacter removes all addons from DestinationCharacter tightjacket.
ItemArmsTightJacketSetExtraPadding,SourceCharacter adds extra padding to DestinationCharacter tightjacket.
ItemArmsTightJacketSetFullJacket,SourceCharacter adds all addons to DestinationCharacter tightjacket.
ItemArmsTightJacketSetLiningStraps,SourceCharacter adds lining straps to DestinationCharacter tightjacket.
